,description,headline,url,provider,date
15,"said on Tuesday it was investigating whether <b>General Motors</b> Co (<b>GM</b>.N), should <b>recall</b> an additional 1.7 million sport utility vehicles due to an issue with windshield wiper failures. <b>GM</b>, the largest U.S. automaker, had recalled 367,800 2013 GMC Terrain and ...",U.S. agency probes 1.7 million <b>GM</b> SUVs over wiper failures,https://www.reuters.com/article/us-gm-safety/u-s-agency-probes-1-7-million-gm-suvs-over-wiper-failures-idUSKCN1NB256,Reuters,2018-11-07T03:15:00.0000000Z
16,"The U.S. National Highway Traffic Safety Administration said it is investigating whether <b>General Motors</b> (<b>GM</b>) missed more than a million vehicles during a 2016 <b>recall</b> for windshield wipers that could fail. In 2016 <b>General Motors</b> recalled about 368,000 2013 ...",U.S. Probes Whether <b>GM</b> Should Expand SUV <b>Recall</b> On Wiper Failures,http://www.rttnews.com/2952330/u-s-probes-whether-gm-should-expand-suv-recall-on-wiper-failures.aspx,RTTNews,2018-11-07T02:00:00.0000000Z
17,"<b>General Motors</b> is under investigation by U.S. safety regulators that are considering forcing the company to expand a windshield wiper <b>recall</b> to cover 1.7 million additional sport-utility vehicles. The company recalled 368,000 Chevrolet Equinox and GMC ...",U.S. Regulators May Force <b>GM</b> to Expand Wiper <b>Recall</b>,http://www.thedetroitbureau.com/2018/11/u-s-regulators-may-force-gm-to-expand-wiper-recall/,TheDetroitBureau,2018-11-06T21:57:00.0000000Z
18,"Back in August 2016, <b>General Motors</b> recalled 367,808 Chevrolet Equinox and GMC Terrain crossovers for potentially faulty windshield wipers. At the time, certain 2013 models were identified as having linkages that could rust and separate, leaving drivers ...",Wipeout: Government Agency Investigating <b>GM</b> Windshield Wiper <b>Recall</b>,https://www.thetruthaboutcars.com/2018/11/wipeout-government-agency-investigating-gm-windshield-wiper-recall/,The Truth About Cars,2018-11-06T18:09:00.0000000Z
19,"WASHINGTON -- The U.S. National Highway Traffic Safety Administration said on Tuesday it is investigating whether <b>General Motors</b> should <b>recall</b> an additional 1.7 million crossovers for windshield wiper failures. <b>GM</b> recalled 367,000 2013 GMC Terrain and ...",NHTSA probes 1.7 million <b>GM</b> crossovers for windshield wiper failures,http://www.autonews.com/article/20181106/OEM11/181109854/general-motors-wipers-recall-investigation,Automotive News,2018-11-06T17:19:00.0000000Z
20,"DETROIT — The U.S. government is investigating whether <b>General Motors</b> should expand a 2016 windshield wiper <b>recall</b> to include 1.7 million more SUVs. The government wants to know if a <b>recall</b> of 368,000 Chevrolet Equinox and GMC Terrain compact SUVs from ...",U.S. questions whether <b>GM</b> SUV <b>recall</b> included enough vehicles,https://www.freep.com/story/money/cars/general-motors/2018/11/06/chevrolet-equinox-gmc-terrain-suvs-recall/1901108002/,Detroit Free Press,2018-11-06T16:06:00.0000000Z
21,"Over the span of two weeks, <b>General Motors</b> Company <b>GM</b> has again been caught into a <b>recall</b> mess. Per Reuters, this U.S. auto giant announced that its China joint venture, Shanghai <b>GM</b>, will <b>recall</b> over 3.3 million vehicles in China from Oct 20. Per the State ...",<b>General Motors</b> (<b>GM</b>) to <b>Recall</b> Over 3.3M Vehicles in China,https://finance.yahoo.com/news/general-motors-gm-recall-over-135901846.html,Yahoo Finance,2018-10-02T14:55:00.0000000Z
22,"Over the span of two weeks, <b>General Motors</b> Company (<b>GM</b> - Free Report) has again been caught into a <b>recall</b> mess. Per Reuters, this U.S. auto giant announced that its China joint venture, Shanghai <b>GM</b>, will <b>recall</b> over 3.3 million vehicles in China from Oct 20.",<b>General Motors</b> (<b>GM</b>) to <b>Recall</b> Over 3.3M Vehicles in China,https://www.zacks.com/stock/news/325844/general-motors-gm-to-recall-over-33m-vehicles-in-china,Zacks Investment Research,2018-10-02T13:24:00.0000000Z
23,"The Takata airbag <b>recall</b> is the largest <b>recall</b> in us auto history, with 19 different automakers recalling over 30 million cars. But owners of some popular <b>General Motors</b> pickups and SUVs are wondering why they can&#39;t get their airbags replaced. Among them ...",Why <b>GM</b> won&#39;t <b>recall</b> thousands of Takata airbags,https://www.wcpo.com/money/consumer/dont-waste-your-money/why-gm-won-t-recall-thousands-of-takata-air-bags,WCPO-TV,2018-09-19T15:36:00.0000000Z
24,"Just two days after recalling more than 1 million vehicles, <b>General Motors</b> issued another <b>recall</b> for 41,000 pickup trucks and sports-utility vehicles, citing problems with the brakes, according to the Associated Press. Vehicles recalled because of loose ...","<b>GM</b> <b>recalls</b> trucks, SUVs for brake problem",https://finance.yahoo.com/news/gm-recalls-trucks-suvs-brake-192506253.html,Yahoo Finance,2018-09-16T04:10:00.0000000Z
